emoji,category,title,keywords
#️⃣,symbols,keycap number sign,"[keycap, symbol, pound, hash, number]"
*️⃣,symbols,keycap asterisk,"[keycap, symbol, asterisk, star]"
0️⃣,symbols,keycap digit zero,"[, keycap, symbol, number, zero, math]"
1️⃣,symbols,keycap digit one,"[, keycap, symbol, number, one, math]"
2️⃣,symbols,keycap digit two,"[, keycap, symbol, two, number, math]"
3️⃣,symbols,keycap digit three,"[, keycap, symbol, three, number, math]"
4️⃣,symbols,keycap digit four,"[, keycap, symbol, number, four, math]"
5️⃣,symbols,keycap digit five,"[, keycap, symbol, number, five, math]"
6️⃣,symbols,keycap digit six,"[, keycap, symbol, six, number, math]"
7️⃣,symbols,keycap digit seven,"[, seven, keycap, symbol, number, math]"
8️⃣,symbols,keycap digit eight,"[, keycap, symbol, number, eight, math]"
9️⃣,symbols,keycap digit nine,"[, keycap, symbol, number, nine, math]"
©,symbols,copyright sign,"[symbol, copyright]"
®,symbols,registered sign,"[registered, symbol]"
‼,symbols,double exclamation mark,"[bangbang, exclamation, symbol, punctuation, mark]"
⁉,symbols,exclamation question mark,"[exclamation, symbol, punctuation, question, mark, interrobang]"
™,symbols,trade mark sign,"[symbol, tm, trademark, mark]"
ℹ,symbols,information source,"[i, information, symbol]"
↔,symbols,left right arrow,"[symbol, arrow]"
↕,symbols,up down arrow,"[symbol, arrow]"
↖,symbols,north west arrow,"[symbol, direction, intercardinal, northwest, arrow]"
↗,symbols,north east arrow,"[northeast, direction, intercardinal, symbol, arrow]"
↘,symbols,south east arrow,"[southeast, direction, intercardinal, symbol, arrow]"
↙,symbols,south west arrow,"[direction, intercardinal, symbol, arrow, southwest]"
↩,symbols,leftwards arrow with hook,"[symbol, arrow]"
↪,symbols,rightwards arrow with hook,"[symbol, arrow]"
⌚,objects,watch,"[electronics, time, watch, clock]"
⌛,objects,hourglass,"[sand, object, time, timer, hourglass]"
⌨,objects,keyboard,"[work, electronics, computer, office, keyboard]"
⏏,,eject symbol,[eject]
⏩,symbols,black right pointing double triangle,"[forward, double, symbol, fast, arrow]"
⏪,symbols,black left pointing double triangle,"[double, symbol, arrow, rewind]"
⏫,symbols,black up pointing double triangle,"[double, symbol, arrow]"
⏬,symbols,black down pointing double triangle,"[down, double, symbol, arrow]"
⏭,symbols,black right pointing double triangle with vertical bar,"[triangle, next scene, symbol, next track, arrow]"
⏮,symbols,black left pointing double triangle with vertical bar,"[triangle, previous scene, symbol, previous track, arrow]"
⏯,symbols,black right pointing triangle with double vertical bar,"[play, pause, triangle, symbol, right, arrow]"
⏰,objects,alarm clock,"[alarm, object, time, clock]"
⏱,objects,stopwatch,"[stopwatch, electronics, time, clock]"
⏲,objects,timer clock,"[object, time, timer, clock]"
⏳,objects,hourglass with flowing sand,"[sand, object, time, timer, hourglass]"
⏸,symbols,double vertical bar,"[double, symbol, pause, bar, vertical]"
⏹,symbols,black square for stop,"[symbol, square, stop]"
⏺,symbols,black circle for record,"[record, circle, symbol]"
Ⓜ,symbols,circled latin capital letter m,"[circle, m, symbol]"
▪,symbols,black small square,"[shapes, geometric, square, symbol]"
▫,symbols,white small square,"[shapes, geometric, square, symbol]"
▶,symbols,black right pointing triangle,"[play, right, triangle, symbol, arrow]"
◀,symbols,black left pointing triangle,"[symbol, triangle, reverse, arrow, left]"
◻,symbols,white medium square,"[shapes, geometric, square, symbol]"
◼,symbols,black medium square,"[shapes, geometric, square, symbol]"
◽,symbols,white medium small square,"[shapes, geometric, square, symbol]"
◾,symbols,black medium small square,"[shapes, geometric, square, symbol]"
☀,nature,black sun with rays,"[rays, space, sun, sunny, hot, morning, bright, weather, day, sky]"
☁,nature,cloud,"[cold, weather, sky, rain, cloud]"
☂,nature,umbrella,"[umbrella, object, sky, rain, weather, cold, clothing]"
☃,nature,snowman,"[snowman, winter, snow, holidays, weather, cold, christmas]"
☄,nature,comet,"[comet, sky, space]"
☎,objects,black telephone,"[phone, electronics, telephone]"
☑,symbols,ballot box with check,"[box, symbol, ballot, check]"
☔,nature,umbrella with rain drops,"[umbrella, drop, sky, rain, weather, cold, clothing]"
☕,food,hot beverage,"[coffee, steaming, tea, drink, caffeine, morning, hot, beverage, steam]"
☘,nature,shamrock,"[shamrock, plant, luck, leaf, nature]"
☝,people,white up pointing index,"[body, index, diversity, point, emojione, up, hand, finger, hands]"
☝🏻,people,white up pointing index type,[]
☝🏼,people,white up pointing index type,[]
☝🏽,people,white up pointing index type,[]
☝🏾,people,white up pointing index type,[]
☝🏿,people,white up pointing index type,[]
☠,objects,skull and crossbones,"[body, death, monster, skull, symbol, dead, face, crossbones]"
☢,symbols,radioactive sign,"[science, symbol, radioactive]"
☣,symbols,biohazard sign,"[science, symbol, biohazard]"
☦,symbols,orthodox cross,"[religion, symbol, christian, cross]"
☪,symbols,star and crescent,"[religion, symbol, muslim, islam]"
☮,symbols,peace symbol,"[drugs, symbol, peace]"
☯,symbols,yin yang,"[taoist, symbol, yin, religion, yang, tao]"
☸,symbols,wheel of dharma,"[wheel, dharma, symbol, buddhist, religion]"
☹,people,white frowning face,"[emotion, sad, frown, smiley, face]"
☺,people,white smiling face,"[outlined, smiley, face, smile, relaxed, happy]"
♈,symbols,aries,"[zodiac, ram, symbol, aries]"
♉,symbols,taurus,"[zodiac, ox, symbol, taurus, bull]"
♊,symbols,gemini,"[zodiac, gemini, twins, symbol]"
♋,symbols,cancer,"[symbol, zodiac, crab, cancer]"
♌,symbols,leo,"[symbol, lion, zodiac, leo]"
♍,symbols,virgo,"[virgo, virgin, zodiac, symbol, maiden]"
♎,symbols,libra,"[scales, justice, symbol, libra, zodiac, balance]"
♏,symbols,scorpius,"[scorpio, zodiac, scorpion, scorpius, symbol]"
♐,symbols,sagittarius,"[symbol, zodiac, archer, sagittarius]"
♑,symbols,capricorn,"[capricorn, zodiac, symbol, goat]"
♒,symbols,aquarius,"[water, zodiac, aquarius, symbol, bearer]"
♓,symbols,pisces,"[symbol, pisces, fish, zodiac]"
♠,symbols,black spade suit,"[symbol, game, spade, card, suit]"
♣,symbols,black club suit,"[club, symbol, game, clubs, suit, card]"
♥,symbols,black heart suit,"[heart, love, symbol, game, suit, hearts, card]"
♦,symbols,black diamond suit,"[diamond, symbol, diamonds, shapes, game, suit, card]"
♨,symbols,hot springs,"[steaming, springs, hot, hotsprings, symbol]"
♻,symbols,black universal recycling symbol,"[recycle, symbol]"
♿,symbols,wheelchair symbol,"[access, wheelchair, symbol]"
⚒,objects,hammer and pick,"[tool, object, hammer, weapon, pick]"
⚓,travel,anchor,"[tool, object, vacation, ship, anchor, boat, travel]"
⚔,objects,crossed swords,"[swords, weapon, object, crossed]"
⚖,objects,scales,"[weight, scales, justice, tool, object, libra, zodiac, balance]"
⚗,objects,alembic,"[science, tool, chemistry, alembic, object]"
⚙,objects,gear,"[tool, object, gear]"
⚛,symbols,atom symbol,"[science, atheist, symbol, atom]"
⚜,symbols,fleur de lis,"[symbol, object, fleur de lis]"
⚠,symbols,warning sign,"[symbol, warning, punctuation]"
⚡,nature,high voltage sign,"[electric, danger, electricity, diarrhea, sky, lightning, weather, voltage, zap]"
⚪,symbols,medium white circle,"[shapes, circle, symbol, geometric]"
⚫,symbols,medium black circle,"[shapes, circle, symbol, geometric]"
⚰,objects,coffin,"[dead, death, rip, coffin, object]"
⚱,objects,funeral urn,"[death, funeral, object, dead, rip, urn]"
⚽,activity,soccer ball,"[soccer, game, ball, sport, football]"
⚾,activity,baseball,"[sport, game, ball, baseball]"
⛄,nature,snowman without snow,"[snowman, winter, snow, holidays, weather, cold]"
⛅,nature,sun behind cloud,"[sun, weather, sky, cloud]"
⛈,nature,thunder cloud and rain,"[thunder, sky, rain, weather, cold, cloud]"
⛎,symbols,ophiuchus,"[bearer, serpent, symbol, snake, zodiac, ophiuchus]"
⛏,objects,pick,"[weapon, mining, object, tool, pick]"
⛑,people,helmet with white cross,"[helmet, object, cross, face, job, accessories, aid, hat]"
⛓,objects,chains,"[tool, object, chain]"
⛔,symbols,no entry,"[no, forbidden, traffic, prohibited, not, entry, circle, symbol]"
⛩,travel,shinto shrine,"[building, places, travel, vacation, religion, shrine, shinto]"
⛪,travel,church,"[building, christian, places, wedding, cross, religion, church, condolence]"
⛰,travel,mountain,"[mountain, travel, camp, vacation, places]"
⛱,objects,umbrella on ground,"[umbrella, sun, travel, vacation, rain, tropical, weather]"
⛲,travel,fountain,"[travel, fountain, vacation]"
⛳,activity,flag in hole,"[ball, golf, flag, vacation, game, hole, sport]"
⛴,travel,ferry,"[ferry, travel, transportation, vacation, boat]"
⛵,travel,sailboat,"[transportation, sailboat, travel, yacht, vacation, resort, sea, vehicle, boat]"
⛷,activity,skier,"[ski, snow, vacation, skiing, cold, sport, hat]"
⛸,activity,ice skate,"[cold, skate, sport, ice skating, ice]"
⛹,activity,person with ball,"[basketball, diversity, men, game, ball, sport]"
⛹🏻,activity,person with ball type,[]
⛹🏼,activity,person with ball type,[]
⛹🏽,activity,person with ball type,[]
⛹🏾,activity,person with ball type,[]
⛹🏿,activity,person with ball type,[]
⛺,travel,tent,"[camping, places, travel, camp, vacation, tent]"
⛽,travel,fuel pump,"[fuelpump, object, gas, gas pump, pump, station, fuel]"
✂,objects,black scissors,"[scissors, tool, object, weapon, office]"
✅,symbols,white heavy check mark,"[symbol, check, mark]"
✈,travel,airplane,"[fly, transportation, travel, vacation, plane, vehicle, airplane]"
✉,objects,envelope,"[office, object, envelope, write, e mail, email]"
✊,people,raised fist,"[body, diversity, punch, clenched, hand, hi, fist, hands, condolence, fist bump]"
✊🏻,people,raised fist type,[]
✊🏼,people,raised fist type,[]
✊🏽,people,raised fist type,[]
✊🏾,people,raised fist type,[]
✊🏿,people,raised fist type,[]
✋,people,raised hand,"[body, diversity, hand, hi, girls night, hands]"
✋🏻,people,raised hand type,[]
✋🏼,people,raised hand type,[]
✋🏽,people,raised hand type,[]
✋🏾,people,raised hand type,[]
✋🏿,people,raised hand type,[]
✌,people,victory hand,"[body, peace, diversity, v, hand, thank you, hi, girls night, victory, hands]"
✌🏻,people,victory hand type,[]
✌🏼,people,victory hand type,[]
✌🏽,people,victory hand type,[]
✌🏾,people,victory hand type,[]
✌🏿,people,victory hand type,[]
✍,people,writing hand,"[body, write, hands, diversity, hand]"
✍🏻,people,writing hand type,[]
✍🏼,people,writing hand type,[]
✍🏽,people,writing hand type,[]
✍🏾,people,writing hand type,[]
✍🏿,people,writing hand type,[]
✏,objects,pencil,"[write, pencil, object, office]"
✒,objects,black nib,"[nib, write, pen, object, office]"
✔,symbols,heavy check mark,"[symbol, check, mark]"
✖,symbols,heavy multiplication x,"[symbol, multiplication, multiply, cancel, x, math]"
✝,symbols,latin cross,"[religion, symbol, christian, cross]"
✡,symbols,star of david,"[star, jew, jewish, symbol, david, religion]"
✨,nature,sparkles,"[sparkle, star, girls night, entertainment]"
✳,symbols,eight spoked asterisk,"[symbol, asterisk]"
✴,symbols,eight pointed black star,"[symbol, star]"
❄,nature,snowflake,"[winter, sky, snow, holidays, weather, cold, snowflake]"
❇,symbols,sparkle,"[sparkle, symbol]"
❌,symbols,cross mark,"[symbol, sol, mark, multiplication, multiply, cancel, x]"
❎,symbols,negative squared cross mark,"[symbol, square, mark]"
❓,symbols,black question mark ornament,"[wth, symbol, punctuation, question, mark]"
❔,symbols,white question mark ornament,"[outlined, punctuation, question, symbol, mark]"
❕,symbols,white exclamation mark ornament,"[exclamation, outlined, punctuation, symbol, mark]"
❗,symbols,heavy exclamation mark symbol,"[exclamation, symbol, punctuation, mark]"
❣,symbols,heavy heart exclamation mark ornament,"[exclamation, heart, love, symbol, punctuation, mark]"
❤,symbols,heavy black heart,"[heart, symbol, love, parties]"
➕,symbols,heavy plus sign,"[symbol, plus, math]"
➖,symbols,heavy minus sign,"[symbol, minus, math]"
➗,symbols,heavy division sign,"[division, symbol, math]"
➡,symbols,black rightwards arrow,"[direction, east, cardinal, symbol, arrow]"
➰,symbols,curly loop,"[curl, symbol, loop]"
➿,symbols,double curly loop,"[double, curl, symbol, loop]"
⤴,symbols,arrow pointing rightwards then curving upwards,"[symbol, arrow]"
⤵,symbols,arrow pointing rightwards then curving downwards,"[down, symbol, arrow]"
⬅,symbols,leftwards black arrow,"[west, direction, cardinal, symbol, arrow]"
⬆,symbols,upwards black arrow,"[north, direction, cardinal, symbol, arrow]"
⬇,symbols,downwards black arrow,"[direction, symbol, down, cardinal, arrow, south]"
⬛,symbols,black large square,"[shapes, geometric, square, symbol]"
⬜,symbols,white large square,"[shapes, geometric, square, symbol]"
⭐,nature,white medium star,"[sky, star, space]"
⭕,symbols,heavy large circle,"[circle, symbol, o]"
〰,symbols,wavy dash,"[dash, wavy, punctuation, symbol]"
〽,symbols,part alternation mark,"[symbol, part, mark]"
㊗,symbols,circled ideograph congratulation,"[congratulations, ideograph, chinese, symbol, japan, congratulation]"
㊙,symbols,circled ideograph secret,"[japan, secret, ideograph, symbol, chinese]"
🀄,symbols,mahjong tile red dragon,"[symbol, game, object, mahjong, red]"
🃏,symbols,playing card black joker,"[entertainment, symbol, object, joker, game, playing, card]"
🅰,symbols,negative squared latin capital letter a,"[a, symbol, blood]"
🅱,symbols,negative squared latin capital letter b,"[symbol, b, blood]"
🅾,symbols,negative squared latin capital letter o,"[symbol, blood, o]"
🅿,symbols,negative squared latin capital letter p,"[symbol, parking]"
🆎,symbols,negative squared ab,"[symbol, ab, blood]"
🆑,symbols,squared cl,"[symbol, cl]"
🆒,symbols,squared cool,"[symbol, cool]"
🆓,symbols,squared free,"[symbol, free]"
🆔,symbols,squared id,"[symbol, id, identity]"
🆕,symbols,squared new,"[new, symbol]"
🆖,symbols,squared ng,"[symbol, ng]"
🆗,symbols,squared ok,"[symbol, ok]"
🆘,symbols,squared sos,"[symbol, sos, help]"
🆙,symbols,squared up with exclamation mark,"[symbol, up, mark]"
🆚,symbols,squared vs,"[versus, symbol, vs]"
🇦🇨,flags,regional indicator symbol letter a regional indicator symbol letter c,"[ascension, island, flag, country]"
🇦🇩,flags,regional indicator symbol letter a regional indicator symbol letter d,"[andorra, country, flag]"
🇦🇪,flags,regional indicator symbol letter a regional indicator symbol letter e,"[uae, flag, united, emirates, country]"
🇦🇫,flags,regional indicator symbol letter a regional indicator symbol letter f,"[afghanistan, flag, country]"
🇦🇬,flags,regional indicator symbol letter a regional indicator symbol letter g,"[country, barbuda, flag, antigua]"
🇦🇮,flags,regional indicator symbol letter a regional indicator symbol letter i,"[country, flag, anguilla]"
🇦🇱,flags,regional indicator symbol letter a regional indicator symbol letter l,"[country, flag, albania]"
🇦🇲,flags,regional indicator symbol letter a regional indicator symbol letter m,"[country, flag, armenia]"
🇦🇴,flags,regional indicator symbol letter a regional indicator symbol letter o,"[country, flag, angola]"
🇦🇶,flags,regional indicator symbol letter a regional indicator symbol letter q,"[country, antarctica, flag]"
🇦🇷,flags,regional indicator symbol letter a regional indicator symbol letter r,"[country, argentina, flag]"
🇦🇸,flags,regional indicator symbol letter a regional indicator symbol letter s,"[country, american, samoa, flag]"
🇦🇹,flags,regional indicator symbol letter a regional indicator symbol letter t,"[country, austria, flag]"
🇦🇺,flags,regional indicator symbol letter a regional indicator symbol letter u,"[country, flag, australia]"
🇦🇼,flags,regional indicator symbol letter a regional indicator symbol letter w,"[country, flag, aruba]"
🇦🇽,flags,regional indicator symbol letter a regional indicator symbol letter x,"[country, flag, land]"
🇦🇿,flags,regional indicator symbol letter a regional indicator symbol letter z,"[country, flag, azerbaijan]"
🇧🇦,flags,regional indicator symbol letter b regional indicator symbol letter a,"[country, flag, herzegovina, bosnia]"
🇧🇧,flags,regional indicator symbol letter b regional indicator symbol letter b,"[country, flag, barbados]"
🇧🇩,flags,regional indicator symbol letter b regional indicator symbol letter d,"[country, flag, bangladesh]"
🇧🇪,flags,regional indicator symbol letter b regional indicator symbol letter e,"[belgium, country, flag]"
🇧🇫,flags,regional indicator symbol letter b regional indicator symbol letter f,"[country, flag, burkina faso]"
🇧🇬,flags,regional indicator symbol letter b regional indicator symbol letter g,"[country, flag, bulgaria]"
🇧🇭,flags,regional indicator symbol letter b regional indicator symbol letter h,"[bahrain, country, flag]"
🇧🇮,flags,regional indicator symbol letter b regional indicator symbol letter i,"[burundi, country, flag]"
🇧🇯,flags,regional indicator symbol letter b regional indicator symbol letter j,"[country, flag, benin]"
🇧🇱,flags,regional indicator symbol letter b regional indicator symbol letter l,"[country, flag, barth lemy, barthelemy, saint]"
🇧🇲,flags,regional indicator symbol letter b regional indicator symbol letter m,"[country, flag, bermuda]"
🇧🇳,flags,regional indicator symbol letter b regional indicator symbol letter n,"[brunei, flag, country, darussalam]"
🇧🇴,flags,regional indicator symbol letter b regional indicator symbol letter o,"[country, flag, bolivia]"
🇧🇶,flags,regional indicator symbol letter b regional indicator symbol letter q,"[netherlands, caribbean, country, sint, eustatius, flag, bonaire, saba]"
🇧🇷,flags,regional indicator symbol letter b regional indicator symbol letter r,"[brazil, country, flag]"
🇧🇸,flags,regional indicator symbol letter b regional indicator symbol letter s,"[bahamas, country, flag]"
🇧🇹,flags,regional indicator symbol letter b regional indicator symbol letter t,"[country, flag, bhutan]"
🇧🇻,flags,regional indicator symbol letter b regional indicator symbol letter v,"[bouvet, flag, country, island]"
🇧🇼,flags,regional indicator symbol letter b regional indicator symbol letter w,"[country, flag, botswana]"
🇧🇾,flags,regional indicator symbol letter b regional indicator symbol letter y,"[country, flag, belarus]"
🇧🇿,flags,regional indicator symbol letter b regional indicator symbol letter z,"[country, flag, belize]"
🇨🇦,flags,regional indicator symbol letter c regional indicator symbol letter a,"[canada, country, flag]"
🇨🇨,flags,regional indicator symbol letter c regional indicator symbol letter c,"[island, cocos, flag, keeling, country]"
🇨🇩,flags,regional indicator symbol letter c regional indicator symbol letter d,"[kinshasa, country, flag, congo, congo kinshasa, republic, drc, democratic republic of congo]"
🇨🇫,flags,regional indicator symbol letter c regional indicator symbol letter f,"[country, flag, republic, central african republic]"
🇨🇬,flags,regional indicator symbol letter c regional indicator symbol letter g,"[congo brazzaville, country, republic of the congo, brazzaville, flag, congo, republic, congo republic]"
🇨🇭,flags,regional indicator symbol letter c regional indicator symbol letter h,"[switzerland, country, flag, neutral]"
🇨🇮,flags,regional indicator symbol letter c regional indicator symbol letter i,"[cote ivoire, country, flag, c te ivoire, ivory coast]"
🇨🇰,flags,regional indicator symbol letter c regional indicator symbol letter k,"[cook, island, flag, country]"
🇨🇱,flags,regional indicator symbol letter c regional indicator symbol letter l,"[country, flag, chile]"
🇨🇲,flags,regional indicator symbol letter c regional indicator symbol letter m,"[country, flag, cameroon]"
🇨🇳,flags,regional indicator symbol letter c regional indicator symbol letter n,"[country, flag, china]"
🇨🇴,flags,regional indicator symbol letter c regional indicator symbol letter o,"[country, flag, colombia]"
🇨🇵,flags,regional indicator symbol letter c regional indicator symbol letter p,"[clipperton, island, flag, country]"
🇨🇷,flags,regional indicator symbol letter c regional indicator symbol letter r,"[country, flag, costa rica]"
🇨🇺,flags,regional indicator symbol letter c regional indicator symbol letter u,"[country, flag, cuba]"
🇨🇻,flags,regional indicator symbol letter c regional indicator symbol letter v,"[cape, flag, verde, cabo, country]"
🇨🇼,flags,regional indicator symbol letter c regional indicator symbol letter w,"[country, flag, antilles, curacao, cura ao]"
🇨🇽,flags,regional indicator symbol letter c regional indicator symbol letter x,"[island, flag, christmas, country]"
🇨🇾,flags,regional indicator symbol letter c regional indicator symbol letter y,"[country, flag, cyprus]"
🇨🇿,flags,regional indicator symbol letter c regional indicator symbol letter z,"[country, flag, czech republic]"
🇩🇪,flags,regional indicator symbol letter d regional indicator symbol letter e,"[country, flag, germany]"
🇩🇬,flags,regional indicator symbol letter d regional indicator symbol letter g,"[country, flag, diego garcia]"
🇩🇯,flags,regional indicator symbol letter d regional indicator symbol letter j,"[country, djibouti, flag]"
🇩🇰,flags,regional indicator symbol letter d regional indicator symbol letter k,"[denmark, flag, country]"
🇩🇲,flags,regional indicator symbol letter d regional indicator symbol letter m,"[country, flag, dominica]"
🇩🇴,flags,regional indicator symbol letter d regional indicator symbol letter o,"[country, dominican republic, flag]"
🇩🇿,flags,regional indicator symbol letter d regional indicator symbol letter z,"[country, flag, algeria]"
🇪🇦,flags,regional indicator symbol letter e regional indicator symbol letter a,"[ceuta, flag, melilla, country]"
🇪🇨,flags,regional indicator symbol letter e regional indicator symbol letter c,"[country, flag, ecuador]"
🇪🇪,flags,regional indicator symbol letter e regional indicator symbol letter e,"[country, flag, estonia]"
🇪🇬,flags,regional indicator symbol letter e regional indicator symbol letter g,"[egypt, country, flag]"
🇪🇭,flags,regional indicator symbol letter e regional indicator symbol letter h,"[west, flag, sahara, western sahara, country]"
🇪🇷,flags,regional indicator symbol letter e regional indicator symbol letter r,"[eritrea, flag, country]"
🇪🇸,flags,regional indicator symbol letter e regional indicator symbol letter s,"[country, flag, spain]"
🇪🇹,flags,regional indicator symbol letter e regional indicator symbol letter t,"[ethiopia, flag, country]"
🇪🇺,flags,regional indicator symbol letter e regional indicator symbol letter u,"[country, flag, european union]"
🇫🇮,flags,regional indicator symbol letter f regional indicator symbol letter i,"[country, flag, finland]"
🇫🇯,flags,regional indicator symbol letter f regional indicator symbol letter j,"[country, flag, fiji]"
🇫🇰,flags,regional indicator symbol letter f regional indicator symbol letter k,"[islas, falklands, island, flag, malvinas, country, falkland]"
🇫🇲,flags,regional indicator symbol letter f regional indicator symbol letter m,"[country, flag, micronesia]"
🇫🇴,flags,regional indicator symbol letter f regional indicator symbol letter o,"[island, faroe, flag, country]"
🇫🇷,flags,regional indicator symbol letter f regional indicator symbol letter r,"[country, flag, france]"
🇬🇦,flags,regional indicator symbol letter g regional indicator symbol letter a,"[country, flag, gabon]"
🇬🇧,flags,regional indicator symbol letter g regional indicator symbol letter b,"[united, england, uk, country, scotland, britain, cornwall, united kingdom, flag, great britain, british, ireland, northern ireland, union jack, wales]"
🇬🇩,flags,regional indicator symbol letter g regional indicator symbol letter d,"[grenada, flag, country]"
🇬🇪,flags,regional indicator symbol letter g regional indicator symbol letter e,"[country, flag, georgia]"
🇬🇫,flags,regional indicator symbol letter g regional indicator symbol letter f,"[country, flag, french, guiana]"
🇬🇬,flags,regional indicator symbol letter g regional indicator symbol letter g,"[country, flag, guernsey]"
🇬🇭,flags,regional indicator symbol letter g regional indicator symbol letter h,"[ghana, country, flag]"
🇬🇮,flags,regional indicator symbol letter g regional indicator symbol letter i,"[country, flag, gibraltar]"
🇬🇱,flags,regional indicator symbol letter g regional indicator symbol letter l,"[country, flag, greenland]"
🇬🇲,flags,regional indicator symbol letter g regional indicator symbol letter m,"[gambia, flag, country]"
🇬🇳,flags,regional indicator symbol letter g regional indicator symbol letter n,"[guinea, flag, country]"
🇬🇵,flags,regional indicator symbol letter g regional indicator symbol letter p,"[country, flag, guadeloupe]"
🇬🇶,flags,regional indicator symbol letter g regional indicator symbol letter q,"[guinea, flag, country, equatorial guinea]"
🇬🇷,flags,regional indicator symbol letter g regional indicator symbol letter r,"[country, flag, greece]"
🇬🇸,flags,regional indicator symbol letter g regional indicator symbol letter s,"[georgia, south sandwich, island, flag, south georgia, country, south]"
🇬🇹,flags,regional indicator symbol letter g regional indicator symbol letter t,"[country, flag, guatemala]"
🇬🇺,flags,regional indicator symbol letter g regional indicator symbol letter u,"[country, flag, guam]"
🇬🇼,flags,regional indicator symbol letter g regional indicator symbol letter w,"[guinea, flag, bissau, country]"
🇬🇾,flags,regional indicator symbol letter g regional indicator symbol letter y,"[country, flag, guyana]"
🇭🇰,flags,regional indicator symbol letter h regional indicator symbol letter k,"[hong kong, flag, china, country]"
🇭🇲,flags,regional indicator symbol letter h regional indicator symbol letter m,"[mcdonald, heard, flag, country, island]"
🇭🇳,flags,regional indicator symbol letter h regional indicator symbol letter n,"[country, flag, honduras]"
🇭🇷,flags,regional indicator symbol letter h regional indicator symbol letter r,"[country, flag, croatia]"
🇭🇹,flags,regional indicator symbol letter h regional indicator symbol letter t,"[country, flag, haiti]"
🇭🇺,flags,regional indicator symbol letter h regional indicator symbol letter u,"[hungary, flag, country]"
🇮🇨,flags,regional indicator symbol letter i regional indicator symbol letter c,"[island, flag, canary, country]"
🇮🇩,flags,regional indicator symbol letter i regional indicator symbol letter d,"[country, flag, indonesia]"
🇮🇪,flags,regional indicator symbol letter i regional indicator symbol letter e,"[country, flag, ireland]"
🇮🇱,flags,regional indicator symbol letter i regional indicator symbol letter l,"[country, flag, israel, jew]"
🇮🇲,flags,regional indicator symbol letter i regional indicator symbol letter m,"[country, flag, isle of man]"
🇮🇳,flags,regional indicator symbol letter i regional indicator symbol letter n,"[country, flag, india]"
🇮🇴,flags,regional indicator symbol letter i regional indicator symbol letter o,"[country, british, indian ocean, chagos, flag, island]"
🇮🇶,flags,regional indicator symbol letter i regional indicator symbol letter q,"[country, flag, iraq]"
🇮🇷,flags,regional indicator symbol letter i regional indicator symbol letter r,"[country, flag, iran]"
🇮🇸,flags,regional indicator symbol letter i regional indicator symbol letter s,"[iceland, flag, country]"
🇮🇹,flags,regional indicator symbol letter i regional indicator symbol letter t,"[country, flag, italy, italian]"
🇯🇪,flags,regional indicator symbol letter j regional indicator symbol letter e,"[country, flag, jersey]"
🇯🇲,flags,regional indicator symbol letter j regional indicator symbol letter m,"[jamaica, flag, country]"
🇯🇴,flags,regional indicator symbol letter j regional indicator symbol letter o,"[country, flag, jordan]"
🇯🇵,flags,regional indicator symbol letter j regional indicator symbol letter p,"[japan, flag, country]"
🇰🇪,flags,regional indicator symbol letter k regional indicator symbol letter e,"[kenya, flag, country]"
🇰🇬,flags,regional indicator symbol letter k regional indicator symbol letter g,"[country, flag, kyrgyzstan]"
🇰🇭,flags,regional indicator symbol letter k regional indicator symbol letter h,"[country, flag, cambodia]"
🇰🇮,flags,regional indicator symbol letter k regional indicator symbol letter i,"[kiribati, flag, country]"
🇰🇲,flags,regional indicator symbol letter k regional indicator symbol letter m,"[country, flag, comoros]"
🇰🇳,flags,regional indicator symbol letter k regional indicator symbol letter n,"[country, flag, saint, nevis, kitts]"
🇰🇵,flags,regional indicator symbol letter k regional indicator symbol letter p,"[north korea, country, flag, korea, north]"
🇰🇷,flags,regional indicator symbol letter k regional indicator symbol letter r,"[country, flag, korea, south korea, south]"
🇰🇼,flags,regional indicator symbol letter k regional indicator symbol letter w,"[kuwait, flag, country]"
🇰🇾,flags,regional indicator symbol letter k regional indicator symbol letter y,"[cayman, flag, country, island]"
🇰🇿,flags,regional indicator symbol letter k regional indicator symbol letter z,"[country, flag, kazakhstan]"
🇱🇦,flags,regional indicator symbol letter l regional indicator symbol letter a,"[country, flag, laos]"
🇱🇧,flags,regional indicator symbol letter l regional indicator symbol letter b,"[country, flag, lebanon]"
🇱🇨,flags,regional indicator symbol letter l regional indicator symbol letter c,"[country, flag, saint, lucia]"
🇱🇮,flags,regional indicator symbol letter l regional indicator symbol letter i,"[country, flag, liechtenstein]"
🇱🇰,flags,regional indicator symbol letter l regional indicator symbol letter k,"[sri lanka, country, flag]"
🇱🇷,flags,regional indicator symbol letter l regional indicator symbol letter r,"[liberia, flag, country]"
🇱🇸,flags,regional indicator symbol letter l regional indicator symbol letter s,"[lesotho, flag, country]"
🇱🇹,flags,regional indicator symbol letter l regional indicator symbol letter t,"[country, flag, lithuania]"
🇱🇺,flags,regional indicator symbol letter l regional indicator symbol letter u,"[country, flag, luxembourg]"
🇱🇻,flags,regional indicator symbol letter l regional indicator symbol letter v,"[country, flag, latvia]"
🇱🇾,flags,regional indicator symbol letter l regional indicator symbol letter y,"[country, flag, libya]"
🇲🇦,flags,regional indicator symbol letter m regional indicator symbol letter a,"[morocco, flag, country]"
🇲🇨,flags,regional indicator symbol letter m regional indicator symbol letter c,"[country, flag, monaco]"
